Iteration,Hidden Layer 1 Size,Hidden Layer 2 Size,Max Epochs,Training Function,Activation Function,Final MSE,Random Seed,Training Error,Validation Error,Test Error
1,2,42,145,1,1,0.00097068399,4827,0.00079715095,0.00096059813,0.0012381002
2,4,76,131,1,1,0.00099431821,4828,0.00060121309,0.001581683,0.00098988499
3,2,26,161,1,1,0.0010166154,4829,0.0007737894,0.0016155278,0.0010041341
4,4,48,139,1,1,0.00089295752,4830,0.00087922037,0.00090332086,0.00090296485
5,3,12,169,1,1,0.0010501629,4831,0.0008795584,0.0011789303,0.0017212965
6,4,65,170,1,1,0.00089728862,4832,0.00078055388,0.0011022571,0.00086542492
7,3,98,198,1,1,0.001035627,4833,0.00066396986,0.0017444673,0.0015485516
8,3,75,164,1,1,0.0011382145,4834,0.00074498692,0.00086542956,0.0020431094
9,3,69,175,1,1,0.0010774293,4835,0.00088459013,0.0011733392,0.0012674787
10,4,20,195,1,1,0.0010381388,4836,0.00083865595,0.001157217,0.0012148716
11,3,88,123,1,1,0.00095527179,4837,0.00070384756,0.0015502223,0.00079785106
12,3,79,121,1,1,0.0010859687,4838,0.00049097685,0.0024095707,0.0019856092
13,3,30,176,1,1,0.0010905482,4839,0.00088698562,0.00093700894,0.0015459482
14,2,40,129,1,1,0.001058237,4840,0.00083217704,0.00099285217,0.0016480919
15,3,60,120,1,1,0.0010753487,4841,0.00082442533,0.0015751977,0.00094759125
16,3,44,155,1,1,0.00091380455,4842,0.00067382406,0.0013573669,0.0013381083
17,4,57,184,1,1,0.0010655932,4843,0.00086655558,0.001743371,0.0010139569
